,Country,freq,Population,NetUserPercent
135,U.S. Virgin Islands,6,,
136,Uganda,18,34856813.0,23.70653091
137,Ukraine,838,42973696.0,57.11513856
138,United Arab Emirates,84,9446000.0,94.81992254
139,United Kingdom,120771,64105654.0,94.62
140,United States,52912,319259000.0,75.23264272
141,Uruguay,28,3404189.0,68.27966256
142,Uzbekistan,30,30492800.0,52.30510079
143,Venezuela,880,30206307.0,64.31
143,Venezuela,880,30206307.0,64.31
143,Venezuela,880,30206307.0,64.31
143,Venezuela,880,30206307.0,64.31
144,Vietnam,17864,89708900.0,49.56909734
145,Zambia,15,15023315.0,27.852579100000003
146,Zimbabwe,40,13061239.0,27.05548769
